词语	T拼音	通用语
绿洲	lv4zhou1	lvzhou
绿竹	lv4zhu2	lvzhu
绿装	lv4zhuang1	lvzhuag
乐儿	le4er1	lyr
乐子	le4zi5	lzi
乐滋滋	le4zi1zi1	lzzi
膜	mo2	m
马鞍	ma3an1	maan
马帮	ma3bang1	mabag
麻包	ma2bao1	mabao
马背	ma3bei4	mabei
麻痹	ma2bi4	mabi
码表	ma3biao3	mabiao
马鞭	ma3bian1	mabib
马鞭子	ma3bian1zi5	mabibz
麻痹大意	ma2bi4da4yi4	mabida-i
马兵	ma3bing1	mabig
抹布	ma1bu4	mabu
马不停蹄	ma3bu4ting2ti2	mabutigti
马刺	ma3ci4	mac
马槽	ma3cao2	macao
马场	ma3chang3	machag
马车	ma3che1	mache
马车夫	ma3che1fu1	machefu
马齿苋	ma3chi3xian4	machixib
马达	ma3da2	mada
马大哈	ma3da4ha1	madaha
麻袋	ma2dai4	madai
骂道	ma4dao4	madao
马到成功	ma3dao4cheng2gong1	madaocheggog
妈的	ma1de5	made
马灯	ma3deng1	madeg
马店	ma3dian4	madib
马肚	ma3du4	madu
马队	ma3dui4	madui
麻纺	ma2fang3	mafag
麻烦	ma2fan2	mafan
麻风	ma2feng1	mafeg
麻风病	ma2feng1bing4	mafegbig
马蜂窝	ma3feng1wo1	mafeguo
吗啡	ma3fei1	mafei
马粪	ma3fen4	mafen
马夫	ma3fu1	mafu
麻秆	ma2gan3	ma-gan
忙不迭	mang2bu4die2	magbudie
芒刺	mang2ci4	magc
莽苍	mang3cang1	magcag
盲肠	mang2chang2	magchag
盲肠炎	mang2chang2yan2	magchagib
盲从	mang2cong2	magcog
芒刺在背	mang2ci4zai4bei4	magczaibei
忙道	mang2dao4	magdao
盲点	mang2dian3	magdib
盲动	mang2dong4	magdog
莽夫	mang3fu1	magfu
芒果	mang2guo3	magguo
莽汉	mang3han4	maghan
忙乎	mang2hu1	maghu
忙坏	mang2huai4	maghuai
忙活	mang2huo2	maghuo
忙音	mang2yin1	magin
忙季	mang2ji4	magj
忙里偷闲	mang2li3tou1xian2	magli-touxib
盲流	mang2liu2	magliu
忙碌	mang2lu4	maglu
忙乱	mang2luan4	maglub
茫茫	mang2mang2	magmag
莽莽苍苍	mang3mang3cang1cang1	magmagcagcag
忙忙碌碌	mang2mang2lu4lu4	magmaglulu
茫茫然	mang2mang2ran2	magmagran
莽莽撞撞	mang3mang3zhuang4zhuang4	magmagzhuagzhuag
盲目	mang2mu4	magmu
盲目性	mang2mu4xing4	magmu-xig
盲区	mang2qu1	magqv
茫然	mang2ran2	magran
茫然不解	mang2ran2bu4jie3	magranbujie
茫然若失	mang2ran2ruo4shi1	magranruoshi
茫然失措	mang2ran2shi1cuo4	magranshicuo
盲人	mang2ren2	magren
忙死	mang2si3	mags
忙时	mang2shi2	magshi
盲童	mang2tong2	magtog
马褂	ma3gua4	ma-gua
忙完	mang2wan2	magub
盲文	mang2wen2	magun
忙于	mang2yu2	magv
莽原	mang3yuan2	magvb
芒硝	mang2xiao1	magxiao
芒鞋	mang2xie2	magxie
盲字	mang2zi4	magz
盲者	mang2zhe3	magzhe
芒种	mang2zhong4	magzhog
忙中出错	mang2zhong1chu1cuo4	magzhogchucuo
莽撞	mang3zhuang4	magzhuag
马赫	ma3he4	mah
马号	ma3hao4	mahao
马后炮	ma3hou4pao4	mahoupao
马虎	ma3hu3	mahu
麻花	ma2hua1	mahua
麻黄	ma2huang2	mahuag
麻黄素	ma2huang2su4	mahuagsu
蚂蚁	ma3yi3	ma-i
码洋	ma3yang2	ma-iag
脉案	mai4an4	maian
麻药	ma2yao4	ma-iao
脉搏	mai4bo2	maib
马尾巴	ma3yi3ba1	ma-i-ba
买办	mai3ban4	maiban
马尾辫	ma3yi3bian4	ma-i-bib
迈步	mai4bu4	maibu
埋藏	mai2cang2	maicag
麦草	mai4cao3	maicao
卖唱	mai4chang4	maichag
脉冲	mai4chong1	maichog
脉冲星	mai4chong1xing1	maichogxig
卖出	mai4chu1	maichu
卖春	mai4chun1	maichun
买单	mai3dan1	maidan
买到	mai3dao4	maidao
麦地	mai4di4	maidi
卖掉	mai4diao4	maidiao
卖点	mai4dian3	maidib
脉动	mai4dong4	maidog
买断	mai3duan4	maidub
买方	mai3fang1	maifag
麦饭	mai4fan4	maifan
麦饭石	mai4fan4shi2	maifanshi
麦粉	mai4fen3	maifen
埋伏	mai2fu2	maifu
麦秆	mai4gan3	maigan
卖给	mai4gei3	maigei
马缨花	ma3ying1hua1	ma-ighua
卖光	mai4guang1	maiguag
卖乖	mai4guai1	maiguai
脉管	mai4guan3	maigub
脉管炎	mai4guan3yan2	maigubib
卖官鬻爵	mai4guan1yu4jue2	maigubvjve
卖关子	mai4guan1zi5	maigubz
买贵	mai3gui4	maigui
卖国	mai4guo2	maiguo
卖国求荣	mai4guo2qiu2rong2	maiguoqiurog
卖国贼	mai4guo2zei2	maiguozei
买好	mai3hao3	maihao
买回	mai3hui2	maihui
卖艺	mai4yi4	maii
麦芽	mai4ya2	maiia
麦芽糖	mai4ya2tang2	maiiatag
卖淫	mai4yin2	maiin
卖淫嫖娼	mai4yin2piao2chang1	maiinpiaochag
卖友	mai4you3	maiiu
卖友求荣	mai4you3qiu2rong2	maiiuqiurog
买家	mai3jia1	maijia
卖解	mai4jie3	maijie
麦秸垛	mai4jie1duo4	maijieduo
买进	mai3jin4	maijin
麦酒	mai4jiu3	maijiu
迈开	mai4kai1	maikai
麦克	mai4ke4	maike
麦克风	mai4ke4feng1	maikefeg
麦克斯韦	mai4ke4si1wei2	maikesi-ui
买空卖空	mai3kong1mai4kong1	maikogmaikog
麦浪	mai4lang4	mailag
买来	mai3lai2	mailai
卖老	mai4lao3	mailao
卖力	mai4li4	maili
卖力气	mai4li4qi4	maili-q
脉络	mai4luo4	mailuo
买路钱	mai3lu4qian2	mailu-qib
麦芒	mai4mang2	maimag
买卖	mai3mai4	maimai
买卖人	mai3mai4ren2	maimairen
脉门	mai4men2	maimen
麦苗	mai4miao2	maimiao
卖命	mai4ming4	maimig
埋没	mai2mo4	maimo
卖弄	mai4nong4	mainog
买票	mai3piao4	maipiao
麦片	mai4pian4	maipib
买齐	mai3qi2	maiq
卖俏	mai4qiao4	maiqiao
卖钱	mai4qian2	maiqib
买去	mai3qu4	maiqv
迈入	mai4ru4	mairu
卖傻	mai4sha3	maisha
买上	mai3shang4	maishag
埋设	mai2she4	maishe
卖身	mai4shen1	maishen
卖身契	mai4shen1qi4	maishenq
麦收	mai4shou1	maishou
麦穗	mai4sui4	maisui
麦田	mai4tian2	maitib
买通	mai3tong1	maitog
埋头	mai2tou2	maitou
麻油	ma2you2	ma-iu
卖完	mai4wan2	maiub
卖文	mai4wen2	maiun
卖与	mai4yu3	maiv
脉息	mai4xi1	maix
买下	mai3xia4	maixia
迈向	mai4xiang4	maixiag
卖笑	mai4xiao4	maixiao
麦子	mai4zi5	maiz
埋葬	mai2zang4	maizag
买帐	mai3zhang4	maizhag
买者	mai3zhe3	maizhe
麦种	mai4zhong3	maizhog
买主	mai3zhu3	maizhu
买走	mai3zou3	maizou
买醉	mai3zui4	maizui
卖座	mai4zuo4	maizuo
马甲	ma3jia3	majia
麻将	ma2jiang4	majiag
马脚	ma3jiao3	majiao
骂街	ma4jie1	majie
马厩	ma3jiu4	majiu
马驹	ma3ju1	majv
马圈	ma3juan4	majvb
马克	ma3ke4	make
马口铁	ma3kou3tie3	makoutie
马裤	ma3ku4	maku
马快	ma3kuai4	makuai
麻辣	ma2la4	mala
马兰	ma3lan2	malan
马拉松	ma3la1song1	malasog
马类	ma3lei4	malei
马力	ma3li4	mali
抹脸	ma1lian3	malib
马列	ma3lie4	malie
马铃薯	ma3ling2shu3	maligshu
马路	ma3lu4	malu
妈妈	ma1ma1	mama
马马虎虎	ma3ma3hu3hu3	mamahuhu
妈咪	ma1mi1	mami
麻面	ma2mian4	mamib
马鸣	ma3ming2	mamig
麻木	ma2mu4	mamu
麻木不仁	ma2mu4bu4ren2	mamu-buren
马奶	ma3nai3	ma-nai
马奶酒	ma3nai3jiu3	ma-naijiu
玛瑙	ma3nao3	ma-nao
慢板	man4ban3	manban
瞒报	man2bao4	manbao
漫笔	man4bi3	manbi
漫步	man4bu4	manbu
蛮不讲理	man2bu4jiang3li3	manbujiagli
漫不经意	man4bu4jing1yi4	manbujigi
漫不经心	man4bu4jing1xin1	manbujigxin
满不在乎	man3bu4zai4hu1	manbuzaihu
蔓草	man4cao3	mancao
漫长	man4chang2	manchag
蛮缠	man2chan2	manchan
满朝	man3chao2	manchao
慢车	man4che1	manche
慢车道	man4che1dao4	manchedao
满城风雨	man3cheng2feng1yu3	manchegfegv
满处	man3chu3	manchu
满当当	man3dang1dang1	mandagdag
慢待	man4dai4	mandai
满打满算	man3da3man3suan4	mandamansub
慢道	man4dao4	mandao
慢动作	man4dong4zuo4	mandogzuo
满肚子	man3du4zi5	mandu-z
满额	man3e2	mane
满耳	man3er3	maner
满分	man3fen1	manfen
满腹	man3fu4	manfu
满负荷	man3fu4he4	manfu-h
满腹狐疑	man3fu4hu2yi2	manfu-hu-i
满腹疑团	man3fu4yi2tuan2	manfu-itub
满腹经纶	man3fu4jing1lun2	manfu-jiglun
满腹牢骚	man3fu4lao2sao1	manfu-laosao
蛮干	man2gan4	mangan
满贯	man3guan4	mangub
瞒过	man2guo4	manguo
曼哈顿	man4ha1dun4	manhadun
满含	man3han2	manhan
满汉全席	man3han4quan2xi2	manhanqvbx
蛮横	man2heng4	manheg
蛮横无理	man2heng4wu2li3	manheguli
漫话	man4hua4	manhua
蛮荒	man2huang1	manhuag
满怀	man3huai2	manhuai
满怀激情	man3huai2ji1qing2	manhuaijqig
满怀信心	man3huai2xin4xin1	manhuaixinxin
漫画家	man4hua4jia1	manhuajia
满意	man3yi4	mani
骂娘	ma4niang2	ma-niag
马尿	ma3niao4	ma-niao
蔓延	man4yan2	manib
满盈	man3ying2	manig
漫游	man4you2	maniu
满以为	man3yi3wei2	mani-ui
慢悠悠	man4you1you1	maniuiu
漫记	man4ji4	manj
满江红	man3jiang1hong2	manjiaghog
慢镜头	man4jing4tou2	manjigtou
蛮劲	man2jin4	manjin
漫卷	man4juan3	manjvb
满坑满谷	man3keng1man3gu3	mankegmangu
满口	man3kou3	mankou
满脸	man3lian3	manlib
满脸堆笑	man3lian3dui1xiao4	manlibduixiao
满脸横肉	man3lian3heng2rou4	manlibhegrou
漫流	man4liu2	manliu
谩骂	man4ma4	manma
慢慢	man4man4	manman
满满当当	man3man3dang1dang1	manmandagdag
慢慢悠悠	man4man4you1you1	manmaniuiu
慢慢来	man4man4lai2	manmanlai
慢慢腾腾	man4man4teng2teng2	manmantegteg
慢慢吞吞	man4man4tun1tun1	manmantuntun
满门	man3men2	manmen
曼妙	man4miao4	manmiao
满面	man3mian4	manmib
满面春风	man3mian4chun1feng1	manmibchunfeg
满面红光	man3mian4hong2guang1	manmibhogguag
满目	man3mu4	manmu
满目疮痍	man3mu4chuang1yi2	manmu-chuagi
满脑	man3nao3	mannao
蛮牛	man2niu2	manniu
满盘	man3pan2	manpan
满盘皆输	man3pan2jie1shu1	manpanjieshu
慢跑	man4pao3	manpao
瞒骗	man2pian4	manpib
满期	man3qi1	manq
满腔	man3qiang1	manqiag
满腔热忱	man3qiang1re4chen2	manqiagrechen
满腔热情	man3qiang1re4qing2	manqiagreqig
满人	man3ren2	manren
漫山	man4shan1	manshan
漫山遍野	man4shan1bian4ye3	manshanbibie
蔓生	man4sheng1	mansheg
满身	man3shen1	manshen
满是	man3shi4	manshi
满世界	man3shi4jie4	manshijie
慢说	man4shuo1	manshuo
慢速	man4su4	mansu
满堂	man3tang2	mantag
满堂彩	man3tang2cai3	mantagcai
满堂灌	man3tang2guan4	mantaggub
满堂红	man3tang2hong2	mantaghog
漫谈	man4tan2	mantan
慢腾腾	man4teng2teng2	mantegteg
慢条斯理	man4tiao2si1li3	mantiaosli
漫天	man4tian1	mantib
满天飞	man3tian1fei1	mantibfei
瞒天过海	man2tian1guo4hai3	mantibguohai
漫天要价	man4tian1yao4jia4	mantibiaojia
满天星	man3tian1xing1	mantibxig
馒头	man2tou2	mantou
满头白发	man3tou2bai2fa4	mantoubaifa
慢吞吞	man4tun1tun1	mantuntun
曼舞	man4wu3	manu
漫无边际	man4wu2bian1ji4	manu-bibj
漫无目标	man4wu2mu4biao1	manumu-biao
漫无目的	man4wu2mu4di4	manumudi
满文	man3wen2	manun
慢语	man4yu3	manv
埋怨	man2yuan4	manvb
满园春色	man3yuan2chun1se4	manvbchunse
满月	man3yue4	manve
瞒下	man2xia4	manxia
慢性	man4xing4	manxig
慢性病	man4xing4bing4	manxigbig
满心	man3xin1	manxin
满心欢喜	man3xin1huan1xi3	manxinhubx
蛮子	man2zi5	manz
满载	man3zai4	manzai
满载而归	man3zai4er2gui1	manzaiergui
满装	man3zhuang1	manzhuag
慢走	man4zou3	manzou
满足	man3zu2	manzu
满足感	man3zu2gan3	manzugan
满嘴	man3zui3	manzui
满座	man3zuo4	manzuo
毛白杨	mao2bai2yang2	maobaiiag
毛背心	mao2bei4xin1	maobeixin
毛笔	mao2bi3	maobi
毛边	mao2bian1	maobib
毛病	mao2bing4	maobig
毛笔字	mao2bi3zi4	maobiz
毛玻璃	mao2bo1li2	maobli
貌不惊人	mao4bu4jing1ren2	maobujigren
毛刺	mao2ci4	maoc
茂才	mao4cai2	maocai
茅草	mao2cao3	maocao
茅厕	mao2ce4	maoce
冒充	mao4chong1	maochog
冒出	mao4chu1	maochu
贸促会	mao4cu4hui4	maocuhui
帽带	mao4dai4	maodai
锚地	mao2di4	maodi
铆钉	mao3ding1	maodig
毛豆	mao2dou4	maodou
冒渎	mao4du2	maodu
矛盾	mao2dun4	maodun
猫耳	mao1er3	maoer
毛发	mao2fa4	maofa
毛纺	mao2fang3	maofag
冒犯	mao4fan4	maofan
冒风险	mao4feng1xian3	maofegxib
贸工农	mao4gong1nong2	maogognog
毛骨悚然	mao2gu3song3ran2	maogusogran
毛孩	mao2hai2	maohai
毛孩子	mao2hai2zi5	maohaiz
冒汗	mao4han4	maohan
貌合神离	mao4he2shen2li2	maohshenli
帽徽	mao4hui1	maohui
冒火	mao4huo3	maohuo
贸易	mao4yi4	maoi
猫腰	mao1yao1	maoiao
毛丫头	mao2ya1tou2	maoiatou
冒烟	mao4yan1	maoib
贸易壁垒	mao4yi4bi4lei3	maoi-bilei
贸易额	mao4yi4e2	maoi-e
贸易局	mao4yi4ju2	maoijv
冒用	mao4yong4	maoiog
冒尖	mao4jian1	maojib
毛巾	mao2jin1	maojin
毛巾被	mao2jin1bei4	maojinbei
猫科	mao1ke1	maoke
茅坑	mao2keng1	maokeg
毛孔	mao2kong3	maokog
毛裤	mao2ku4	maoku
帽盔	mao4kui1	maokui
毛拉	mao2la1	maola
毛利	mao2li4	maoli
毛料	mao2liao4	maoliao
锚链	mao2lian4	maolib
冒领	mao4ling3	maolig
毛利率	mao2li4lv4	maoli-lv
茅庐	mao2lu2	maolu
毛驴	mao2lv2	maolv
毛驴车	mao2lv2che1	maolv-che
毛毛	mao2mao2	maomao
毛毛虫	mao2mao2chong2	maomaochog
贸贸然	mao4mao4ran2	maomaoran
冒冒失失	mao4mao4shi1shi1	maomaoshishi
毛毛雨	mao2mao2yu3	maomaov
貌美	mao4mei3	maomei
茂密	mao4mi4	maomi
冒名	mao4ming2	maomig
冒名顶替	mao4ming2ding3ti4	maomigdigti
毛囊	mao2nang2	maonag
猫腻	mao1ni4	maoni
冒牌	mao4pai2	maopai
冒牌货	mao4pai2huo4	maopaihuo
冒泡	mao4pao4	maopao
茅棚	mao2peng2	maopeg
毛坯	mao2pi1	maopi
毛片	mao2pian4	maopib
冒气	mao4qi4	maoq
贸然	mao4ran2	maoran
冒认	mao4ren4	maoren
毛绒	mao2rong2	maorog
毛茸茸	mao2rong2rong2	maorogrog
貌似	mao4si4	maos
茅塞顿开	mao2se4dun4kai1	maosedunkai
毛瑟枪	mao2se4qiang1	maoseqiag
毛衫	mao2shan1	maoshan
茅舍	mao2she4	maoshe
茂盛	mao4sheng4	maosheg
冒失	mao4shi1	maoshi
冒失鬼	mao4shi1gui3	maoshi-gui
毛手毛脚	mao2shou3mao2jiao3	maoshoumaojiao
毛遂自荐	mao2sui4zi4jian4	maosuizjib
茅台酒	mao2tai2jiu3	maotaijiu
毛毯	mao2tan3	maotan
矛头	mao2tou2	maotou
猫头鹰	mao1tou2ying1	maotouig
茅屋	mao2wu1	maou
毛袜	mao2wa4	maoua
毛乌素	mao2wu1su4	maousu
冒雨	mao4yu3	maov
毛细管	mao2xi4guan3	maoxgub
貌相	mao4xiang1	maoxiag
冒险	mao4xian3	maoxib
冒险家	mao4xian3jia1	maoxibjia
冒险性	mao4xian3xing4	maoxibxig
毛选	mao2xuan3	maoxvb
冒雪	mao4xue3	maoxve
猫儿眼	mao1er1yan3	maoyrib
帽子	mao4zi5	maoz
毛躁	mao2zao4	maozao
毛贼	mao2zei2	maozei
毛毡	mao2zhan1	maozhan
猫爪	mao1zhao3	maozhao
毛织品	mao2zhi1pin3	maozhipin
毛竹	mao2zhu2	maozhu
马棚	ma3peng2	mapeg
马匹	ma3pi3	mapi
马屁精	ma3pi4jing1	mapijig
马枪	ma3qiang1	maqiag
马前卒	ma3qian2zu2	maqibzu
马球	ma3qiu2	maqiu
麻雀	ma2que4	maqve
马群	ma3qun2	maqvn
骂人	ma4ren2	maren
骂人话	ma4ren2hua4	marenhua
马肉	ma3rou4	marou
摩挲	ma1sa1	masa
马赛克	ma3sai4ke4	masaik
马赛曲	ma3sai4qu3	masaiqv
麻纱	ma2sha1	masha
马上	ma3shang4	mashag
麻绳	ma2sheng2	masheg
马生角	ma3sheng1jue2	mashegjve
马氏	ma3shi4	mashi
马失前蹄	ma3shi1qian2ti2	mashiqibti
马首是瞻	ma3shou3shi4zhan1	mashoushizhan
马术	ma3shu4	mashu
马太效应	ma3tai4xiao4ying4	mataixiaoig
马蹄	ma3ti2	mati
马铁	ma3tie3	matie
马蹄莲	ma3ti2lian2	matilib
马蹄铁	ma3ti2tie3	matitie
马蹄形	ma3ti2xing2	matixig
马蹄袖	ma3ti2xiu4	matixiu
马桶	ma3tong3	matog
码头	ma3tou2	matou
马头琴	ma3tou2qin2	matouqin
骂为	ma4wei2	maui
马尾松	ma3wei3song1	mauisog
马戏	ma3xi4	max
麻线	ma2xian4	maxib
麻鞋	ma2xie2	maxie
马戏团	ma3xi4tuan2	maxtub
马靴	ma3xue1	maxve
麻子	ma2zi5	maz
马贼	ma3zei2	mazei
蚂蚱	ma4zha4	mazha
马掌	ma3zhang3	mazhag
麻疹	ma2zhen3	mazhen
马鬃	ma3zong1	mazog
麻醉	ma2zui4	mazui
麻醉药	ma2zui4yao4	mazuiiao
麻醉剂	ma2zui4ji4	mazuij
麻醉品	ma2zui4pin3	mazuipin
麻醉师	ma2zui4shi1	mazuishi
魔棒	mo2bang4	mbag
膜拜	mo2bai4	mbai
末班	mo4ban1	mban
末班车	mo4ban1che1	mbanche
墨宝	mo4bao3	mbao
摹本	mo2ben3	mben
墨笔	mo4bi3	mbi
摸遍	mo1bian4	mbib
莫不	mo4bu4	mbu
漠不关心	mo4bu4guan1xin1	mbugubxin
莫不如此	mo4bu4ru2ci3	mburuc
莫不是	mo4bu4shi4	mbushi
摸不透	mo1bu4tou4	mbutou
默不作声	mo4bu4zuo4sheng1	mbuzuosheg
抹脖子	mo3bo2zi5	mbzi
摩擦	mo2ca1	mca
摸彩	mo1cai3	mcai
摩擦力	mo2ca1li4	mcali
莫测	mo4ce4	mce
磨蹭	mo2ceng4	mceg
莫测高深	mo4ce4gao1shen1	mce-gaoshen
磨成	mo2cheng2	mcheg
摸出	mo1chu1	mchu
磨穿	mo2chuan1	mchub
莫大	mo4da4	mda
末代	mo4dai4	mdai
摸到	mo1dao4	mdao
磨刀霍霍	mo2dao1huo4huo4	mdaohuohuo
磨刀石	mo2dao1shi2	mdaoshi
摩登	mo2deng1	mdeg
蓦地	mo4di4	mdi
抹掉	mo3diao4	mdiao
墨点	mo4dian3	mdib
末端	mo4duan1	mdub
盟邦	meng2bang1	megbag
蒙蔽	meng2bi4	megbi
蒙尘	meng2chen2	megchen
猛冲	meng3chong1	megchog
孟春	meng4chun1	megchun
梦到	meng4dao4	megdao
猛地	meng3di4	megdi
萌动	meng2dong4	megdog
萌发	meng2fa1	megfa
猛攻	meng3gong1	meggog
蒙古	meng3gu3	meggu
蒙古包	meng3gu3bao1	meggu-bao
盟国	meng2guo2	megguo
蒙古人	meng2gu3ren2	megguren
蒙汗药	meng2han4yao4	meghaniao
猛虎	meng3hu3	meghu
梦话	meng4hua4	meghua
梦幻	meng4huan4	meghub
蒙混	meng2hun4	meghun
蒙混过关	meng2hun4guo4guan1	meghunguogub
猛虎下山	meng3hu3xia4shan1	meghuxiashan
梦呓	meng4yi4	megi
萌芽	meng2ya2	megia
猛药	meng3yao4	megiao
梦魇	meng4yan3	megib
梦游	meng4you2	megiu
梦游症	meng4you2zheng4	megiuzheg
猛击	meng3ji1	megj
猛将	meng3jiang4	megjiag
梦见	meng4jian4	megjib
梦境	meng4jing4	megjig
猛进	meng3jin4	megjin
盟军	meng2jun1	megjvn
猛可	meng3ke3	megke
锰矿	meng3kuang4	megkuag
孟浪	meng4lang4	meglag
猛力	meng3li4	megli
猛烈	meng3lie4	meglie
朦胧	meng2long2	meglog
猛犸	meng3ma3	megma
蒙蒙	meng2meng2	megmeg
蒙蒙亮	meng2meng1liang4	megmegliag
蒙昧	meng2mei4	megmei
梦寐以求	meng4mei4yi3qiu2	megmeiiqiu
蒙面	meng2mian4	megmib
蒙面人	meng2mian4ren2	megmibren
蒙难	meng2nan4	megnan
蒙骗	meng1pian4	megpib
猛扑	meng3pu1	megpu
蒙起	meng2qi3	megq
猛禽	meng3qin2	megqin
孟秋	meng4qiu1	megqiu
猛犬	meng3quan3	megqvb
猛然	meng3ran2	megran
猛然间	meng3ran2jian1	megranjib
蒙人	meng2ren2	megren
蒙上	meng2shang4	megshag
萌生	meng2sheng1	megsheg
盟誓	meng2shi4	megshi
蒙受	meng2shou4	megshou
锰酸	meng3suan1	megsub
蒙太奇	meng2tai4qi2	megtaiq
猛听	meng3ting1	megtig
蒙头	meng2tou2	megtou
蒙文	meng2wen2	megun
蒙语	meng2yu3	megv
蒙冤	meng2yuan1	megvb
盟约	meng2yue1	megve
梦想	meng4xiang3	megxiag
猛醒	meng3xing3	megxig
盟兄	meng2xiong1	megxiog
蒙羞	meng2xiu1	megxiu
猛子	meng3zi5	megz
蒙在鼓里	meng2zai4gu3li3	megzaiguli
猛增	meng3zeng1	megzeg
猛涨	meng3zhang3	megzhag
蒙住	meng2zhu4	megzhu
没办法	mei2ban4fa3	meibanfa
没比	mei2bi3	meibi
霉变	mei2bian4	meibib
美不胜收	mei3bu4sheng4shou1	meibushegshou
每次	mei3ci4	meic
美餐	mei3can1	meican
煤层	mei2ceng2	meiceg
煤场	mei2chang3	meichag
美差	mei3chai1	meichai
美钞	mei3chao1	meichao
煤车	mei2che1	meiche
美称	mei3cheng1	meicheg
煤尘	mei2chen2	meichen
美丑	mei3chou3	meichou
没出息	mei2chu1xi1	meichux
没错	mei2cuo4	meicuo
每当	mei3dang1	meidag
没大没小	mei2da4mei2xiao3	meidameixiao
每到	mei3dao4	meidao
美德	mei3de2	meide
美帝	mei3di4	meidi
没电	mei2dian4	meidib
没顶	mei2ding3	meidig
煤都	mei2dou1	meidou
梅毒	mei2du2	meidu
煤堆	mei2dui1	meidui
没多久	mei2duo1jiu3	meiduojiu
没法	mei2fa3	meifa
美方	mei3fang1	meifag
美发厅	mei3fa1ting1	meifatig
没法子	mei2fa3zi5	meifaz
每逢	mei3feng2	meifeg
眉飞色舞	mei2fei1se4wu3	meifeiseu
没份	mei2fen4	meifen
没福	mei2fu2	meifu
每个	mei3ge4	meig
美感	mei3gan3	meigan
煤矸石	mei2gan1shi2	meiganshi
美工	mei3gong1	meigog
没工夫	mei2gong1fu1	meigogfu
眉骨	mei2gu3	meigu
镁光	mei3guang1	meiguag
镁光灯	mei3guang1deng1	meiguagdeg
美观	mei3guan1	meigub
没关系	mei2guan1xi4	meigubx
玫瑰	mei2gui1	meigui
玫瑰红	mei2gui1hong2	meiguihog
玫瑰花	mei2gui1hua1	meiguihua
玫瑰色	mei2gui1se4	meiguise
玫瑰园	mei2gui1yuan2	meiguivb
玫瑰香	mei2gui1xiang1	meiguixiag
美国人	mei3guo2ren2	meiguoren
美好	mei3hao3	meihao
没好意思	mei2hao3yi4si1	meihaois
没好气	mei2hao3qi4	meihaoq
煤黑	mei2hei1	meihei
镁合金	mei3he2jin1	meihjin
梅河口	mei2he2kou3	meihkou
美猴王	mei3hou2wang2	meihouuag
美化	mei3hua4	meihua
梅花奖	mei2hua1jiang3	meihuajiag
梅花鹿	mei2hua1lu4	meihualu
没话找话	mei2hua4zhao3hua4	meihuazhaohua
梅花针	mei2hua1zhen1	meihuazhen
每回	mei3hui2	meihui
没货	mei2huo4	meihuo
美意	mei3yi4	meii
每样	mei3yang4	meiiag
煤窑	mei2yao2	meiiao
眉眼	mei2yan3	meiib
煤业	mei2ye4	meiie
没影	mei2ying3	meiig
没用	mei2yong4	meiiog
没意思	mei2yi4si1	meiis
没有	mei2you3	meiiu
煤油灯	mei2you2deng1	meiiudeg
没有用	mei2you3yong4	meiiuiog
煤油炉	mei2you2lu2	meiiulu
美籍	mei3ji2	meij
煤价	mei2jia4	meijia
煤焦	mei2jiao1	meijiao
没见	mei2jian4	meijib
媒介	mei2jie4	meijie
美景	mei3jing3	meijig
没精打采	mei2jing1da3cai3	meijigdacai
美金	mei3jin1	meijin
没救	mei2jiu4	meijiu
美酒佳肴	mei3jiu3jia1yao2	meijiujiaiao
没几天	mei2ji3tian1	meijtib
枚举	mei2ju3	meijv
霉菌	mei2jun1	meijvn
梅开二度	mei2kai1er4du4	meikaierdu
眉开眼笑	mei2kai1yan3xiao4	meikaiibxiao
没空	mei2kong4	meikog
煤矿	mei2kuang4	meikuag
煤矿工	mei2kuang4gong1	meikuaggog
每况愈下	mei3kuang4yu4xia4	meikuagvxia
煤块	mei2kuai4	meikuai
眉来眼去	mei2lai2yan3qu4	meilaiibqv
没来由	mei2lai2you2	meilaiiu
霉烂	mei2lan4	meilan
美丽	mei3li4	meili
昧良心	mei4liang2xin1	meiliagxin
没脸	mei2lian3	meilib
煤炉	mei2lu2	meilu
美轮美奂	mei3lun2mei3huan4	meilunmeihub
美满	mei3man3	meiman
眉毛	mei2mao2	meimao
美梦	mei3meng4	meimeg
妹妹	mei4mei4	meimei
没门	mei2men2	meimen
美妙	mei3miao4	meimiao
没命	mei2ming4	meimig
眉目	mei2mu4	meimu
眉目传情	mei2mu4chuan2qing2	meimu-chubqig
眉目如画	mei2mu4ru2hua4	meimu-ruhua
美男	mei3nan2	meinan
美男子	mei3nan2zi3	meinanz
每年	mei3nian2	meinib
美女	mei3nv3	meinv
美女蛇	mei3nv3she2	meinvshe
媒婆	mei2po2	meip
没跑	mei2pao3	meipao
眉批	mei2pi1	meipi
没谱	mei2pu3	meipu
煤气	mei2qi4	meiq
煤气表	mei2qi4biao3	meiqbiao
煤气灯	mei2qi4deng1	meiqdeg
煤气费	mei2qi4fei4	meiqfei
煤气罐	mei2qi4guan4	meiqgub
眉清目秀	mei2qing1mu4xiu4	meiqigmuxiu
煤球	mei2qiu2	meiqiu
煤气炉	mei2qi4lu2	meiqlu
美其名曰	mei3qi2ming2yue1	meiqmigve
没趣	mei2qu4	meiqv
煤气灶	mei2qi4zao4	meiqzao
每日	mei3ri4	meir
美髯	mei3ran2	meiran
每人	mei3ren2	meiren
